1,4,2019-09-21 00:05:00 +0000 UTC,2019-09-21 01:00:00 +0000 UTC,{12.989067 77.617657},{13.046322 77.621619},true,8530.100000m,cab 3
10,4,2019-09-21 00:00:00 +0000 UTC,2019-09-21 00:38:00 +0000 UTC,{12.920615 77.684075},{13.018532 77.688663},true,14767.900000m,cab 4
18,4,2019-09-21 00:00:00 +0000 UTC,2019-09-21 00:39:00 +0000 UTC,{12.920615 77.684075},{13.007611 77.714240},true,15393.700000m,cab 2
35,4,2019-09-21 00:20:00 +0000 UTC,2019-09-21 01:00:00 +0000 UTC,{13.064372 77.571984},{13.046322 77.621619},true,8875.400000m,cab 1
5,4,2019-09-21 08:45:00 +0000 UTC,2019-09-21 09:55:00 +0000 UTC,{12.895516 77.865601},{12.919648 77.668352},true,25423.200000m,cab 13
7,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 17:05:00 +0000 UTC,{12.920615 77.684075},{12.905125 77.543404},true,18371.400000m,cab 25
15,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:08:00 +0000 UTC,{12.920615 77.684075},{12.936131 77.700423},true,3629.500000m,cab 27
23,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 17:06:00 +0000 UTC,{12.920615 77.684075},{12.947541 77.580202},true,14953.600000m,cab 40
32,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:43:00 +0000 UTC,{12.920615 77.684075},{12.923888 77.570420},true,14948.000000m,cab 35
41,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 17:40:00 +0000 UTC,{12.920615 77.684075},{12.967933 77.501115},true,25752.800000m,cab 34
92,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:16:00 +0000 UTC,{13.046322 77.621619},{13.067262 77.641883},true,4609.300000m,cab 18
99,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:43:00 +0000 UTC,{13.046322 77.621619},{12.958163 77.568906},true,14232.700000m,cab 13
106,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:51:00 +0000 UTC,{13.046322 77.621619},{13.009833 77.612649},true,4863.200000m,cab 38
113,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:59:00 +0000 UTC,{13.046322 77.621619},{13.020343 77.699062},true,11323.700000m,cab 15
121,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:44:00 +0000 UTC,{13.046322 77.621619},{13.119971 77.612218},true,11926.000000m,cab 16
128,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:55:00 +0000 UTC,{13.046322 77.621619},{12.916614 77.550657},true,20472.200000m,cab 32
135,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:19:00 +0000 UTC,{13.046322 77.621619},{12.981090 77.611012},true,9511.600000m,cab 26
142,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:24:00 +0000 UTC,{13.046322 77.621619},{12.907254 77.601066},true,17390.400000m,cab 20
170,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 17:06:00 +0000 UTC,{12.920615 77.684075},{13.008738 77.526392},true,25802.600000m,cab 33
176,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 17:41:00 +0000 UTC,{12.920615 77.684075},{12.907223 77.689691},true,4002.400000m,cab 30
182,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:52:00 +0000 UTC,{12.920615 77.684075},{12.908599 77.649327},true,6989.400000m,cab 37
202,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:22:00 +0000 UTC,{12.920615 77.684075},{12.910143 77.677862},true,3663.300000m,cab 39
210,4,2019-09-21 16:07:00 +0000 UTC,2019-09-21 17:33:00 +0000 UTC,{13.053525 77.516508},{12.921477 77.669084},true,28959.700000m,cab 21
228,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:48:00 +0000 UTC,{12.920615 77.684075},{12.992990 77.661881},true,12619.400000m,cab 31
240,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:41:00 +0000 UTC,{12.920615 77.684075},{12.910620 77.606328},true,11049.200000m,cab 36
245,4,2019-09-21 16:00:00 +0000 UTC,2019-09-21 16:31:00 +0000 UTC,{12.920615 77.684075},{13.018073 77.665492},true,14960.100000m,cab 29
